userId,movieId,ratting,timestamp,last,histHighRatedMovieIds,negHistMovieIds,gender,age,occupation,zipCode,title,genres,label
1,48,5,978824351,1.0,1545|527|595|588|1|2355|2294|783|1566|1907,771|1173|1744|43|1047|2458|2796|3793|440|3402,F,1,10,48067,Pocahontas (1995),Animation|Children's|Musical|Romance,1
2030,48,3,977809337,1.0,3928|1934|2099|3345|1013|1101|3524|3429|3751|2138,1337|1702|414|3913|700|784|3286|3324|3474|3341,M,25,4,77345,Pocahontas (1995),Animation|Children's|Musical|Romance,0
4877,48,2,962767153,1.0,2078|1032|2081|616|364|2033|3034|2394|3745|3615,1222|1762|880|3192|1412|2710|3931|2090|3059|3035,M,25,4,94703,Pocahontas (1995),Animation|Children's|Musical|Romance,0
2,1917,3,978300174,1.0,3418|349|1527|2353|1370|648|368|736|2002|1544,1360|3841|1895|52|388|1032|2931|147|2398|764,M,56,16,70072,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,0
5122,1917,5,962213528,1.0,3078|2858|2907|1584|2571|32|788|1573|2428|1580,811|3114|2551|731|1820|3579|1943|1138|1410|48,M,25,0,20009,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,1
3,2081,4,978298504,1.0,2735|1136|3421|1394|1304|1079|1259|2355|3552|104,3632|3162|2521|2608|1787|1644|216|419|3836|1743,M,25,15,55117,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
237,2081,4,1043436812,1.0,1246|2150|1777|1387|3147|2011|153|1682|1012|3686,345|1669|2107|3403|215|1377|1976|954|3774|2392,M,25,6,46835,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
5182,2081,5,961790606,1.0,1049|2479|2333|920|3448|3244|1704|2359|2552|2875,534|2447|3044|1228|2410|2910|9|2075|2291|788,F,35,7,55441,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
4,1954,5,978294282,1.0,2366|1201|2692|2947|1214|3418|3702|1240|2951|1036,876|2169|1717|3436|3914|1645|1676|525|3015|425,M,45,7,02460,Rocky (1976),Action|Drama,1
2060,1954,5,1035086705,1.0,2011|3753|3617|3785|1073|3897|1060|1235|3007|562,2309|2780|915|1274|1119|1086|2115|2228|3057|2667,M,1,1,48304,Rocky (1976),Action|Drama,1
5,288,2,978246585,1.0,515|1715|506|377|1580|1921|1897|2427|551|2029,3398|1176|2731|213|169|605|1760|976|279|2052,M,25,20,55455,Natural Born Killers (1994),Action|Thriller,0
1627,288,3,974722400,1.0,589|480|3624|144|70|804|296|1573|3265|1218,1519|1364|1217|1705|986|1678|603|1079|3840|2932,M,18,17,91505,Natural Born Killers (1994),Action|Thriller,0
6,597,5,978239019,1.0,3074|3578|3753|3536|3408|3624|3565|3717|920|1569,136|2107|2652|349|3780|226|3306|1421|124|2973,F,50,9,55117,Pretty Woman (1990),Comedy|Romance,1
4778,597,5,963026694,1.0,2236|1958|1461|2423|2794|2795|2431|1307|454|2803,295|3865|2602|705|278|2054|1522|3118|119|652,M,25,0,46227,Pretty Woman (1990),Comedy|Romance,1
5055,597,3,962487446,1.0,1265|902|920|1211|3199|497|3668|3284|3044|1946,2369|450|1197|3135|3608|1013|2498|2047|3355|3639,F,35,16,97330,Pretty Woman (1990),Comedy|Romance,0
7,3107,3,978234898,1.0,733|474|1580|861|2353|380|1573|1722|3256|349,1601|628|1278|48|2969|627|2294|2122|3125|1602,M,35,1,06810,Backdraft (1991),Action|Drama,0
3042,3107,4,970252733,1.0,1317|597|508|514|365|2236|1693|24|500|377,2012|1645|3375|3830|2384|3264|263|223|789|3292,M,56,1,49042,Backdraft (1991),Action|Drama,1
8,3257,3,978247143,1.0,1836|266|230|1701|3528|105|1027|1274|1|741,2904|3309|1123|1473|2630|2861|1428|281|1084|2027,M,25,12,11413,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,0
282,3257,2,976572019,1.0,1036|2762|47|1610|1625|1344|454|3256|1480|2803,3434|573|1157|1830|52|2870|944|2938|3673|1392,M,25,17,94401,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,0
4252,3257,3,965308676,1.0,1717|165|1092|832|1518|839|2840|2719|1565|2389,3691|1079|3369|344|1269|480|1579|1179|2995|623,F,35,3,28262,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,0
10,2252,5,980638688,1.0,2717|2498|1831|3593|275|3034|3447|595|1704|2693,3131|2577|3866|871|2968|2612|2308|3380|2354|2232,F,35,1,95370,Hero (1992),Comedy|Drama,1
11,3182,1,978909052,1.0,1777|1732|1753|663|2539|2683|333|216|88|2076,2080|2888|58|2635|3829|2134|89|777|14|1876,F,25,1,04093,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,0
1926,3182,4,976648851,1.0,2687|2137|1025|2139|1566|3745|3615|2033|2810|3746,1903|153|3310|3321|3509|3870|2690|2559|3766|1335,F,1,0,95404,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,1
3299,3182,5,974326655,1.0,1204|1333|2160|1035|1947|1572|3604|2857|3160|3007,1610|1960|2957|974|897|1833|2009|2332|1255|3306,F,25,4,19119,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,1
3425,3182,4,992802861,1.0,2746|1206|3201|3359|1234|3911|3481|3536|3098|3566,2773|3531|1122|2399|3718|3168|379|1101|3567|953,M,18,20,48135,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,1
12,3362,3,978220273,1.0,3897|858|1221|919|1193|111|593|3658|2804|923,185|880|510|2983|2131|3511|2392|2161|1554|2693,M,25,12,32793,Dog Day Afternoon (1975),Comedy|Crime|Drama,0
2176,3362,5,1045790224,1.0,785|3081|2966|3181|2359|2165|319|1214|680|541,793|2733|2351|295|1428|3633|2385|1934|1139|1217,M,1,19,73505,Dog Day Afternoon (1975),Comedy|Crime|Drama,1
4521,3362,5,964838454,1.0,1635|1036|3504|1079|924|916|3105|1953|1964|3037,121|818|1543|1526|3262|3807|3449|2674|3315|143,M,35,12,15202,Dog Day Afternoon (1975),Comedy|Crime|Drama,1
4821,3362,5,973541849,1.0,483|260|111|1193|2137|1968|1290|1222|3478|2144,1716|564|2219|2166|1923|671|2001|1305|547|127,M,18,19,75080,Dog Day Afternoon (1975),Comedy|Crime|Drama,1
14,1225,4,978201317,1.0,2997|3578|2686|2692|2762|3081|2396|296|1263|2731,829|11|1178|1882|830|3474|2865|3942|511|1570,M,35,0,60126,Amadeus (1984),Drama,1
1410,1225,5,974765178,1.0,1320|2123|3701|1200|1927|1942|2971|149|2858|2896,832|25|2544|269|777|364|1918|3391|1158|2096,M,50,7,94404,Amadeus (1984),Drama,1
3591,1225,4,978382081,1.0,924|3408|3753|1552|3173|3578|3717|1221|260|1196,3576|3477|3249|977|1426|843|1604|2854|2358|3098,M,35,6,96158,Amadeus (1984),Drama,1
4785,1225,5,1034396054,1.0,1727|3098|2870|555|2686|1198|2442|908|1580|3101,2853|110|250|2894|3114|3512|3339|2857|2964|1556,F,25,14,55104,Amadeus (1984),Drama,1
5936,1225,3,957214753,1.0,69|1136|1036|2791|34|1278|2959|1272|2871|1208,3708|1557|2426|409|1102|1932|1553|829|385|3536,M,18,4,37130,Amadeus (1984),Drama,0
17,707,4,978161166,1.0,3156|2377|610|2021|2116|316|2311|2173|164|1617,3929|3137|2094|2738|2050|897|2477|3656|162|2646,M,50,1,95350,Mulholland Falls (1996),Crime|Film-Noir|Thriller,1
1272,707,3,974824102,1.0,2018|364|588|2761|3213|2137|3034|2394|50|47,317|3028|3445|743|712|1068|1876|3101|1386|1180,M,18,20,49506,Mulholland Falls (1996),Crime|Film-Noir|Thriller,0
4443,707,3,965096324,1.0,938|3545|899|2971|1282|922|930|1252|3364|2987,2858|2922|3925|736|164|16|1367|2918|3024|1608,M,56,2,91321,Mulholland Falls (1996),Crime|Film-Noir|Thriller,0
19,1234,5,994556636,1.0,589|2858|2836|1961|1148|1193|3948|223|1275|318,1584|3434|242|3699|312|2076|654|328|1309|2622,M,1,10,48073,"Sting, The (1973)",Comedy|Crime,1
244,1234,5,976804375,1.0,2352|2797|2100|3039|858|50|1221|910|296|1213,3200|3102|401|435|2624|3478|1326|556|1222|41,M,50,7,19072,"Sting, The (1973)",Comedy|Crime,1
1364,1234,4,974769421,1.0,1189|363|2997|1288|2804|3114|910|2324|3504|1066,3380|2860|2353|3688|2100|66|233|668|295|476,F,45,2,97214,"Sting, The (1973)",Comedy|Crime,1
2117,1234,5,974649306,1.0,947|1294|951|955|3088|1304|1269|1278|3035|1270,108|2656|1747|3727|1168|1486|2785|2331|510|171,M,56,13,49307,"Sting, The (1973)",Comedy|Crime,1
3523,1234,5,966912158,1.0,1387|1358|2804|1136|1278|608|2762|1213|919|1304,2700|1748|2435|3493|734|1552|2860|1000|898|572,M,35,7,53404,"Sting, The (1973)",Comedy|Crime,1
3738,1234,5,966209809,1.0,3362|3543|3671|34|3088|3504|2716|1663|3396|1270,466|3726|1759|2631|2335|716|986|1816|2463|2414,M,45,7,01904-1355,"Sting, The (1973)",Comedy|Crime,1
3833,1234,5,1002809785,1.0,3327|2413|1304|3265|3435|911|900|1193|3159|1303,3039|3121|3750|1732|3425|3725|2832|728|3202|3488,M,25,1,68516,"Sting, The (1973)",Comedy|Crime,1
